timestamp,message
1705693419763,"START RequestId: 49f71537-95b4-4e7a-b511-25bfa7d55df8 Version: $LATEST
"
1705693419763,"b'{""app"":""myapp"",""arn"":""arn:aws:s3:::myapp-development-backends320240119194337029000000001"",""env"":""development"",""local"":""myapp-development-backends3"",""name"":""myapp-development-modules.backend.externals.s3"",""res"":""modules.backend.externals.s3"",""type"":""s3""}'
"
1705693419764,"END RequestId: 49f71537-95b4-4e7a-b511-25bfa7d55df8
"
1705693419764,"REPORT RequestId: 49f71537-95b4-4e7a-b511-25bfa7d55df8	Duration: 1.09 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 38 MB	
"
1705693446968,"START RequestId: e591d012-ebf1-4451-909e-ab2bbbe03b83 Version: $LATEST
"
1705693446968,"b'{""app"":""myapp"",""arn"":""arn:aws:sqs:ca-central-1:667740703053:myapp-development-backendsqs20240119194340288600000002"",""env"":""development"",""local"":""myapp-development-backendsqs"",""name"":""myapp-development-modules.backend.externals.sqs"",""res"":""modules.backend.externals.sqs"",""type"":""sqs""}'
"
1705693446969,"END RequestId: e591d012-ebf1-4451-909e-ab2bbbe03b83
"
1705693446969,"REPORT RequestId: e591d012-ebf1-4451-909e-ab2bbbe03b83	Duration: 1.11 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 38 MB	
"
1705693463286,"START RequestId: ec90fb39-b58c-452c-bbe3-717175982b4e Version: $LATEST
"
1705693463286,"b'{""app"":""myapp"",""arn"":""arn:aws:iam::667740703053:policy/myapp-development-s3-policy20240119194422142000000001"",""arns"":[""arn:aws:s3:::myapp-development-backends320240119194337029000000001""],""env"":""development"",""local"":""myapp-development-s3-policy"",""name"":""myapp-development-s3-policy"",""res"":""s3-policy"",""type"":""policy s3""}'
"
1705693463287,"END RequestId: ec90fb39-b58c-452c-bbe3-717175982b4e
"
1705693463287,"REPORT RequestId: ec90fb39-b58c-452c-bbe3-717175982b4e	Duration: 1.03 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 38 MB	
"
1705693496098,"START RequestId: 85bb10a6-5d99-471c-baa7-d1c5f95b62c5 Version: $LATEST
"
1705693496098,"b'{""app"":""myapp"",""arn"":""arn:aws:iam::667740703053:policy/myapp-development-sqs-policy20240119194455036600000001"",""arns"":[""arn:aws:sqs:ca-central-1:667740703053:myapp-development-backendsqs20240119194340288600000002""],""env"":""development"",""local"":""myapp-development-sqs-policy"",""name"":""myapp-development-sqs-policy"",""res"":""sqs-policy"",""type"":""policy sqs""}'
"
1705693496099,"END RequestId: 85bb10a6-5d99-471c-baa7-d1c5f95b62c5
"
1705693496099,"REPORT RequestId: 85bb10a6-5d99-471c-baa7-d1c5f95b62c5	Duration: 1.08 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 38 MB	
"
1705693541143,"START RequestId: 713641dc-def4-465f-a921-bf2219441149 Version: $LATEST
"
